,chain,hs_lat,hs_lon,time,iteration,model,plateid
8921,Hawaii,27.38742213459011,-171.8395143938779,30.0,13,Trench_frame,901
8922,Hawaii,24.164101321369387,-166.3047943911328,20.0,13,Trench_frame,901
8923,Hawaii,21.12815535408928,-160.7364921035386,10.0,13,Trench_frame,901
8924,Hawaii,19.0,-155.0,0.0,13,Trench_frame,901
8925,Hawaii,53.88490687636651,175.2664810422567,90.0,14,Trench_frame,901
8926,Hawaii,46.63311503804797,176.0450263460471,80.0,14,Trench_frame,901
8927,Hawaii,39.51739132486101,178.23774220874154,70.0,14,Trench_frame,901
8928,Hawaii,34.220692297318415,178.0224026397433,60.0,14,Trench_frame,901
8929,Hawaii,32.570167995946306,179.5798296702195,50.0,14,Trench_frame,901
8930,Hawaii,27.669416445200326,-175.34839549902782,40.0,14,Trench_frame,901
8931,Hawaii,28.289134345433816,-172.13124139786936,30.0,14,Trench_frame,901
8932,Hawaii,24.89599124129241,-166.62430452400616,20.0,14,Trench_frame,901
8933,Hawaii,22.005750578260436,-160.8677958230243,10.0,14,Trench_frame,901
8934,Hawaii,19.0,-155.0,0.0,14,Trench_frame,901
8935,Hawaii,53.24886194483743,171.75367357010708,90.0,15,Trench_frame,901
8936,Hawaii,46.36222195120012,172.89021992837138,80.0,15,Trench_frame,901
8937,Hawaii,38.62784561752937,177.02960799163014,70.0,15,Trench_frame,901
8938,Hawaii,33.78661012060166,177.3690481069298,60.0,15,Trench_frame,901
8939,Hawaii,29.49231115295925,179.6000406713259,50.0,15,Trench_frame,901
8940,Hawaii,26.85491308878946,-175.65477392950794,40.0,15,Trench_frame,901
8941,Hawaii,27.166983946348214,-172.68516991254177,30.0,15,Trench_frame,901
8942,Hawaii,25.456049843874567,-166.88221110467305,20.0,15,Trench_frame,901
8943,Hawaii,21.729228239310892,-160.79864981742662,10.0,15,Trench_frame,901
8944,Hawaii,19.0,-155.0,0.0,15,Trench_frame,901
8945,Hawaii,51.949778375609746,174.18714217516097,90.0,16,Trench_frame,901
8946,Hawaii,44.58335201762536,175.1623984033284,80.0,16,Trench_frame,901
8947,Hawaii,37.29856896522679,177.7914768317285,70.0,16,Trench_frame,901
8948,Hawaii,32.32509865832714,177.60411791728728,60.0,16,Trench_frame,901
8949,Hawaii,28.176160504948584,179.45290589978268,50.0,16,Trench_frame,901
8950,Hawaii,25.54769298736511,-175.81130059171585,40.0,16,Trench_frame,901
8951,Hawaii,27.32932597376921,-173.12601588033132,30.0,16,Trench_frame,901
8952,Hawaii,25.594237651527706,-167.71784269626139,20.0,16,Trench_frame,901
8953,Hawaii,22.887101814068604,-161.68939101847857,10.0,16,Trench_frame,901
8954,Hawaii,19.0,-155.0,0.0,16,Trench_frame,901
8955,Hawaii,52.382931749075304,172.42794028005974,90.0,17,Trench_frame,901
8956,Hawaii,44.695041406221954,173.91666634446426,80.0,17,Trench_frame,901
8957,Hawaii,36.090176337083385,178.11712007133107,70.0,17,Trench_frame,901
8958,Hawaii,32.34456881974001,176.4953383217826,60.0,17,Trench_frame,901
8959,Hawaii,28.011422513596305,179.70995065637595,50.0,17,Trench_frame,901
8960,Hawaii,24.866447352710182,-175.3106072101962,40.0,17,Trench_frame,901
8961,Hawaii,26.582201406000923,-172.60868420602944,30.0,17,Trench_frame,901
8962,Hawaii,25.203265608028847,-167.43057120567835,20.0,17,Trench_frame,901
8963,Hawaii,22.00296923073905,-161.16929253654638,10.0,17,Trench_frame,901
8964,Hawaii,19.0,-155.0,0.0,17,Trench_frame,901
8965,Hawaii,56.161160720445835,167.91985678240133,90.0,18,Trench_frame,901
8966,Hawaii,48.33097120291944,170.22462937445718,80.0,18,Trench_frame,901
8967,Hawaii,40.72878076438318,174.5982122206692,70.0,18,Trench_frame,901
8968,Hawaii,35.43157994004228,175.06042210071305,60.0,18,Trench_frame,901
8969,Hawaii,31.122959733127416,178.3826186096812,50.0,18,Trench_frame,901
8970,Hawaii,28.563616861037342,-176.10040056995996,40.0,18,Trench_frame,901
8971,Hawaii,27.952093876228062,-171.86416825407932,30.0,18,Trench_frame,901
8972,Hawaii,24.766978069883223,-166.59387592567026,20.0,18,Trench_frame,901
8973,Hawaii,21.81132017850612,-160.9128919942492,10.0,18,Trench_frame,901
8974,Hawaii,19.0,-155.0,0.0,18,Trench_frame,901
8975,Hawaii,54.759666711540326,173.43292437565748,90.0,19,Trench_frame,901
8976,Hawaii,47.1422821808335,175.65434316174748,80.0,19,Trench_frame,901
8977,Hawaii,39.697639070238814,178.58536545730465,70.0,19,Trench_frame,901
8978,Hawaii,34.96443712946503,177.9748532329575,60.0,19,Trench_frame,901
8979,Hawaii,30.935660694252867,179.02366864298935,50.0,19,Trench_frame,901
8980,Hawaii,28.655399277438217,-175.78250918738559,40.0,19,Trench_frame,901
8981,Hawaii,27.548080702934914,-172.20888552627446,30.0,19,Trench_frame,901
8982,Hawaii,24.387598122484764,-166.65548798663454,20.0,19,Trench_frame,901
8983,Hawaii,21.379105560906332,-161.0863132309572,10.0,19,Trench_frame,901
8984,Hawaii,19.0,-155.0,0.0,19,Trench_frame,901
8985,Hawaii,55.29135794170898,168.15448832605594,90.0,20,Trench_frame,901
8986,Hawaii,47.688127941912335,170.08500600653335,80.0,20,Trench_frame,901
8987,Hawaii,40.26657465736769,173.98782340013219,70.0,20,Trench_frame,901
8988,Hawaii,34.886596090562115,174.5439472994237,60.0,20,Trench_frame,901
8989,Hawaii,30.48477030068953,178.02266693307146,50.0,20,Trench_frame,901
8990,Hawaii,27.990963375907498,-176.5637849584316,40.0,20,Trench_frame,901
8991,Hawaii,28.444336330987447,-172.84491164357087,30.0,20,Trench_frame,901
8992,Hawaii,25.871980239207804,-167.16930640920134,20.0,20,Trench_frame,901
8993,Hawaii,21.97111725968275,-161.11665414454023,10.0,20,Trench_frame,901
8994,Hawaii,19.0,-155.0,0.0,20,Trench_frame,901
8995,Hawaii,51.93474230033808,172.14414928189584,90.0,21,Trench_frame,901
8996,Hawaii,44.64774671481188,174.4442512532626,80.0,21,Trench_frame,901
8997,Hawaii,37.22631080375499,177.43417814523707,70.0,21,Trench_frame,901
8998,Hawaii,32.45880287286985,177.01146378885906,60.0,21,Trench_frame,901
8999,Hawaii,28.479042095360356,178.85048731917337,50.0,21,Trench_frame,901
9000,Hawaii,25.97067822490962,-176.35844075700285,40.0,21,Trench_frame,901
9001,Hawaii,27.59038059574275,-173.4012717550791,30.0,21,Trench_frame,901
9002,Hawaii,24.847221086647497,-167.41277207848466,20.0,21,Trench_frame,901
9003,Hawaii,22.33687158697838,-161.9256079449599,10.0,21,Trench_frame,901
9004,Hawaii,19.0,-155.0,0.0,21,Trench_frame,901
9005,Hawaii,52.32673633972593,171.40893028729855,90.0,22,Trench_frame,901
9006,Hawaii,44.84584684422939,173.13241763670226,80.0,22,Trench_frame,901
9007,Hawaii,37.51026860096022,176.1051764166888,70.0,22,Trench_frame,901
9008,Hawaii,32.34532421493169,176.35274055633673,60.0,22,Trench_frame,901
9009,Hawaii,27.942647937751293,179.74598174489535,50.0,22,Trench_frame,901
9010,Hawaii,24.78653190349315,-175.1094198133265,40.0,22,Trench_frame,901
9011,Hawaii,26.460572002620623,-172.52225334203553,30.0,22,Trench_frame,901
9012,Hawaii,24.990606542428107,-166.66123065323552,20.0,22,Trench_frame,901
9013,Hawaii,22.14677570973628,-161.34477381213892,10.0,22,Trench_frame,901
9014,Hawaii,19.0,-155.0,0.0,22,Trench_frame,901
9015,Hawaii,51.867244908955726,172.9620680688171,90.0,23,Trench_frame,901
9016,Hawaii,44.737449531861884,174.27323915234808,80.0,23,Trench_frame,901
9017,Hawaii,37.170299877552,178.00778541644073,70.0,23,Trench_frame,901
9018,Hawaii,32.420833148937355,177.5550805351687,60.0,23,Trench_frame,901
9019,Hawaii,28.933248370364844,179.3068206379738,50.0,23,Trench_frame,901
9020,Hawaii,25.886969535243757,-175.8308219036067,40.0,23,Trench_frame,901
